Ticker,Segmento,DY_Anual,P_VP,Liquidez_Diaria,Vacancia,Patrimonio,Perfil_Risco,Perfil_Ideal_Investidor,Liquidez_Patrimonio,Desconto_VP,DY_por_Vacancia,Indice_Valor,Log_Patrimonio,Log_Liquidez,Score_Risco
AAZQ11,Outros,0.0394,0.86,436511.0,0.0,177876000.0,Médio,Moderado,0.0024540185297623,0.14,3.94,0.045813953488372,18.99659724190589,12.986571145292848,52.0
ABCP11,Shoppings,0.1002,0.68,70361.0,0.015,356289000.0,Médio,Moderado,0.0001974829422182,0.3199999999999999,4.008,0.1473529411764705,19.69125276004625,11.16140862368912,42.25
ADSH11,Multicategoria,0.0149,1.06,17610100.0,0.1235,494701000.0,Médio,Moderado,0.0355974619012292,-0.06,0.1116104868913857,0.0140566037735849,20.019464099644445,16.683983215833567,60.52
AEFI11,Outros,0.0,1.75,0.0,0.0,411893000.0,Médio,Moderado,0.0,-0.75,0.0,0.0,19.8362741672736,0.0,62.0
AERO11,Logística,0.0,1.03,0.0,0.0,62732400.0,Baixo,Conservador,0.0,-0.03,0.0,0.0,17.95438863448791,0.0,34.0
AFCR11,Multicategoria,0.0,1.07,0.0,0.0,498867000.0,Médio,Moderado,0.0,-0.07,0.0,0.0,20.027850087127952,0.0,42.0
AFHF11,Outros,0.1377,0.98,131216.0,0.0,49950000.0,Baixo,Conservador,0.0026269469469469,0.02,13.769999999999998,0.1405102040816326,17.726533083078856,11.78460772026898,34.0
AFHI11,Multicategoria,0.1248,1.0,590873.0,0.0,458900000.0,Baixo,Conservador,0.0012875855306166,0.0,12.48,0.1248,19.944342881544188,13.289358075688774,32.0
AFOF11,Títulos e Val. Mob.,0.0,12.28,0.0,0.0,1390540000.0,Médio,Moderado,0.0,-11.28,0.0,0.0,21.0529579985744,0.0,45.0
AGCX11,Varejo,0.0,11.57,0.0,0.0385999999999999,19291500000.0,Médio,Moderado,0.0,-10.57,0.0,0.0,23.682930421390363,0.0,62.79
AGRX11,Outros,0.0509,0.79,354657.0,0.0,148417000.0,Médio,Moderado,0.0023895982266182,0.2099999999999999,5.09,0.0644303797468354,18.81553644413044,12.778909223826826,42.0
AIEC11,Escritórios,0.0677,0.79,1075110.0,0.0,289982000.0,Médio,Moderado,0.0037075059831299,0.2099999999999999,6.77,0.0856962025316455,19.485329413501407,13.88793447002734,44.0
AJFI11,Shoppings,0.0711,0.77,1484600.0,0.033,287502000.0,Médio,Moderado,0.0051637901649379,0.2299999999999999,1.6534883720930231,0.0923376623376623,19.476740378177457,14.210656607247468,42.95
ALMI11,Escritórios,0.0689,0.3,12161.0,0.4379999999999999,68362700.0,Alto,Arrojado,0.0001778894046022,0.7,0.1537946428571428,0.2296666666666666,18.04033792684129,9.406071615680055,84.0
ALZC11,Multicategoria,0.1603,0.8,339728.0,0.0,147641000.0,Médio,Moderado,0.0023010410387358,0.1999999999999999,16.03,0.200375,18.810294216108502,12.735903519948538,50.0
ALZM11,Títulos e Val. Mob.,0.0,0.86,0.0,0.0,97155500.0,Médio,Moderado,0.0,0.14,0.0,0.0,18.39182335596232,0.0,44.0
ALZR11,Multicategoria,0.0993999999999999,0.96,2878690.0,0.1246,1659460000.0,Baixo,Conservador,0.0017347149072589,0.04,0.738484398216939,0.1035416666666666,21.22975808579073,14.872846234900493,33.69
ALZT11,Títulos e Val. Mob.,0.0,0.79,0.0,0.0,16500000.0,Médio,Moderado,0.0,0.2099999999999999,0.0,0.0,16.61887099947687,0.0,44.0
ANCR11,Shoppings,0.0034999999999999,3.42,2830.0,0.0473,14268900000.0,Médio,Moderado,1.9833343845706401e-07,-2.42,0.0610820244328097,0.0010233918128654,23.38134818074078,7.9483852851118995,56.09
APTO11,Residencial,0.1266,0.84,13582.0,0.0,38050900.0,Médio,Moderado,0.0003569429369607,0.16,12.659999999999998,0.1507142857142857,17.45443532136087,9.51657428982249,45.0
APXM11,Shoppings,0.0575,0.63,30782.0,0.0,223502000.0,Médio,Moderado,0.0001377258369052,0.37,5.75,0.0912698412698412,19.224930924997956,10.33471786853032,48.0
ARCT11,Multicategoria,0.0,0.86,0.0,0.0,368999000.0,Médio,Moderado,0.0,0.14,0.0,0.0,19.726304494684065,0.0,50.0
AROA11,Multicategoria,0.0687,1.32,44165.0,0.0,211588000.0,Médio,Moderado,0.000208731118967,-0.32,6.869999999999999,0.0520454545454545,19.170151550291425,10.69571054128676,50.0
ARRI11,Multicategoria,0.2196,0.54,357572.0,0.0,94929500.0,Médio,Moderado,0.003766711085595,0.4599999999999999,21.96,0.4066666666666667,18.368645079339373,12.78709481607527,60.0
ARTE11,Residencial,0.0282,0.8,56669.0,0.0,79797000.0,Médio,Moderado,0.0007101645425266,0.1999999999999999,2.82,0.03525,18.1949964802602,10.945000249163664,55.0
ARXD11,Multicategoria,0.1365,0.87,44702.0,0.0,69150200.0,Médio,Moderado,0.0006464478772295,0.13,13.65,0.1568965517241379,18.05179152279533,10.70779589244357,40.0
ASMT11,Outros,0.0,0.41,518.0,0.0,70113800.0,Médio,Moderado,7.387989240349261e-06,0.5900000000000001,0.0,0.0,18.065630208518886,6.251903883165888,62.0
ASRF11,Multicategoria,0.0,1.15,0.0,0.0,43896000.0,Médio,Moderado,0.0,-0.1499999999999999,0.0,0.0,17.597333780502066,0.0,50.0
ATSA11,Shoppings,0.0487999999999999,0.77,7591.0,0.1568,99850100.0,Alto,Arrojado,7.602395991591395e-05,0.2299999999999999,0.2925659472422062,0.0633766233766233,18.41918062934286,8.934850340289763,71.52
AURB11,Logística,0.0521999999999999,1.01,1195400.0,0.0579,88165300.0,Baixo,Conservador,0.0135586222697591,-0.01,0.7687776141384388,0.0516831683168316,18.294724030871528,13.993992251912012,32.69
AVUR11,Multicategoria,0.0667,0.98,0.0,0.0,24259700.0,Baixo,Conservador,0.0,0.02,6.669999999999999,0.0680612244897959,17.00432713658972,0.0,32.0
AZPL11,Logística,0.1189,0.89,451505.0,0.0,321128000.0,Baixo,Conservador,0.0014059969856256,0.1099999999999999,11.89,0.1335955056179775,19.587350358621187,13.020343940787424,24.0
BARI11,Outros,0.0351,1.01,0.0,0.0,367028000.0,Médio,Moderado,0.0,-0.01,3.51,0.0347524752475247,19.7209487001111,0.0,44.0
BBFI11,Escritórios,0.9906,18.55,0.0,0.0,81770000.0,Médio,Moderado,0.0,-17.55,99.06,0.0534016172506738,18.219420998367585,0.0,64.0
BBFO11,Multicategoria,0.1369,0.91,551809.0,0.0,279072000.0,Baixo,Conservador,0.0019772997649352,0.0899999999999999,13.69,0.1504395604395604,19.446980374592155,13.220959063109268,32.0
BBGO11,Outros,0.06,0.74,515346.0,0.0,274954000.0,Médio,Moderado,0.0018742989736465,0.26,6.0,0.081081081081081,19.432114372548902,13.152595739161493,42.0
BBIG11,Shoppings,0.1416,0.68,945731.0,0.0107,643295000.0,Médio,Moderado,0.0014701357852929,0.3199999999999999,6.840579710144927,0.208235294117647,20.28211396548208,13.759714509800276,44.61
BBPO11,Escritórios,0.0,0.95,0.0,0.0144,1540230000.0,Médio,Moderado,0.0,0.05,0.0,0.0,21.155197593518857,0.0,39.16
BBRC11,Outros,0.128,1.0,96378.0,0.1253,166775000.0,Médio,Moderado,0.0005778923699595,0.0,0.9460458240946046,0.128,18.932156162555955,11.4760436145439,52.8
BBVJ11,Escritórios,0.0,0.86,0.0,0.437,197789000.0,Alto,Arrojado,0.0,0.14,0.0,0.0,19.10271136893337,0.0,84.0
BCFF11,Títulos e Val. Mob.,0.0,0.84,0.0,0.0,1480960000.0,Médio,Moderado,0.0,0.16,0.0,0.0,21.115956363764717,0.0,35.0
BCIA11,Multicategoria,0.1231,0.87,585418.0,0.0,334713000.0,Médio,Moderado,0.0017490148276284,0.13,12.31,0.1414942528735632,19.62878400916782,13.280083109153264,40.0
BCRI11,Outros,0.1586999999999999,0.71,483708.0,0.0,380416000.0,Médio,Moderado,0.0012715238055181,0.29,15.869999999999996,0.2235211267605633,19.756775951368105,13.089238765212295,52.0
